,AdmArea,District,EDU_NAME,ID,LINK,OGRN,PASSED_NUMBER_FULL,PASSER_UNDER_160,PASSES_OVER_220,YEAR,global_id,signature_date,system_object_id
301,Северный административный округ,Хорошёвский район,Государственное бюджетное образовательное учреждение города Москвы гимназия № 1409,927,"{'global_id': 4479066, 'value': 'Государственное бюджетное образовательное учреждение города Москвы гимназия № 1409'}",1137746559851,112,66,40,2015-2016,4698281,31.10.2016 09:32:20,927
302,Восточный административный округ,район Сокольники,Государственное казенное общеобразовательное учреждение города Москвы «Специальная (коррекционная) общеобразовательная школа-интернат № 30 имени К.А. Микаэльяна»,1418,"{'global_id': 30538837, 'value': 'Государственное казенное общеобразовательное учреждение города Москвы «Специальная (коррекционная) общеобразовательная школа-интернат № 30 имени К.А. Микаэльяна»'}",1037739253023,6,0,0,2015-2016,4698282,31.10.2016 09:28:10,1418
303,Восточный административный округ,район Богородское,Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 1349»,938,"{'global_id': 4479093, 'value': 'Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 1349»'}",5147746421170,57,11,4,2015-2016,4698283,31.10.2016 09:08:22,938
304,Северо-Западный административный округ,район Хорошёво-Мнёвники,Государственное бюджетное общеобразовательное учреждение города Москвы «Гимназия № 1517»,1424,"{'global_id': 4479347, 'value': 'Государственное бюджетное общеобразовательное учреждение города Москвы «Гимназия № 1517»'}",1037739147929,225,169,80,2015-2016,4698284,31.10.2016 09:28:25,1424
305,Юго-Западный административный округ,Академический район,Государственное бюджетное общеобразовательное учреждение города Москвы «Гимназия № 45 имени Л.И. Мильграма»,744,"{'global_id': 13793681, 'value': 'Государственное бюджетное общеобразовательное учреждение города Москвы «Гимназия № 45 имени Л.И. Мильграма»'}",1027739923639,218,120,66,2015-2016,4698285,31.10.2016 09:36:06,744
306,Центральный административный округ,Басманный район,Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 345 имени А.С. Пушкина»,2939,"{'global_id': 4478702, 'value': 'Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 345 имени А.С. Пушкина»'}",5147746069620,67,59,31,2015-2016,4698286,31.10.2016 09:37:54,2939
307,Южный административный округ,район Орехово-Борисово Южное,Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 949»,2995,"{'global_id': 13793747, 'value': 'Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 949»'}",1027739613527,116,46,15,2015-2016,4698287,31.10.2016 09:29:31,2995
308,Западный административный округ,район Ново-Переделкино,Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 1467»,3018,"{'global_id': 4479480, 'value': 'Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 1467»'}",5147746204282,97,27,12,2015-2016,4698288,31.10.2016 09:34:03,3018
309,Восточный административный округ,район Вешняки,Государственное бюджетное образовательное учреждение города Москвы гимназия № 402 им. Алии Молдагуловой,3012,"{'global_id': 4478639, 'value': 'Государственное бюджетное образовательное учреждение города Москвы гимназия № 402 им. Алии Молдагуловой'}",1147746347110,75,38,14,2015-2016,4698289,31.10.2016 09:31:17,3012
310,Северный административный округ,район Беговой,Государственное автономное профессиональное образовательное учреждение города Москвы «Политехнический колледж № 8 имени дважды Героя Советского Союза И.Ф. Павлова»,3010,"{'global_id': 4478926, 'value': 'Государственное автономное профессиональное образовательное учреждение города Москвы «Политехнический колледж № 8 имени дважды Героя Советского Союза И.Ф. Павлова»'}",1107746276659,3,0,0,2015-2016,4698290,31.10.2016 09:31:10,3010
311,Западный административный округ,Можайский район,Государственное бюджетное профессиональное образовательное учреждение города Москвы «Западный комплекс непрерывного образования»,2741,"{'global_id': 13793786, 'value': 'Государственное бюджетное профессиональное образовательное учреждение города Москвы «Западный комплекс непрерывного образования»'}",1057731005452,131,37,7,2015-2016,4698291,31.10.2016 09:08:03,2741
312,Зеленоградский административный округ,район Старое Крюково,Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 719»,2311,"{'global_id': 30538843, 'value': 'Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 719»'}",1037735007826,71,32,9,2015-2016,4698292,31.10.2016 09:32:22,2311
313,Центральный административный округ,Басманный район,Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 1429 имени Героя Советского Союза Н.А. Боброва»,2155,{'global_id': 59480308},5137746011035,14,8,2,2015-2016,4698293,31.10.2016 09:28:46,2155
314,Северо-Западный административный округ,район Южное Тушино,Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 1056»,2931,{'global_id': 62782406},1027700590037,67,40,6,2015-2016,4698294,31.10.2016 09:25:16,2931
315,Южный административный округ,Даниловский район,Государственное бюджетное общеобразовательное учреждение города Москвы «Гимназия № 1272»,4334,"{'global_id': 4478722, 'value': 'Государственное бюджетное общеобразовательное учреждение города Москвы «Гимназия № 1272»'}",1127746700839,56,35,23,2015-2016,4698295,31.10.2016 09:20:55,4334
316,Северо-Восточный административный округ,Лосиноостровский район,Государственное бюджетное общеобразовательное учреждение города Москвы «Школа с углубленным изучением английского языка № 1381»,4290,"{'global_id': 4479436, 'value': 'Государственное бюджетное общеобразовательное учреждение города Москвы «Школа с углубленным изучением английского языка № 1381»'}",5147746334159,169,55,12,2015-2016,4698296,31.10.2016 09:28:55,4290
317,Северо-Восточный административный округ,район Марфино,Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 1494»,4292,"{'global_id': 13793739, 'value': 'Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 1494»'}",1137746962682,161,96,29,2015-2016,4698297,31.10.2016 09:27:52,4292
318,Юго-Восточный административный округ,район Люблино,Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 1143»,3741,{'global_id': 59480603},1027700527909,61,32,11,2015-2016,4698298,31.10.2016 09:17:54,3741
319,Юго-Западный административный округ,район Зюзино,Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа с углубленным изучением восточных языков № 2042 имени Лазаревых,4790,"{'global_id': 4478891, 'value': 'Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа с углубленным изучением восточных языков № 2042 имени Лазаревых'}",5087746584393,40,23,7,2015-2016,4698300,31.10.2016 09:35:08,4790
320,Западный административный округ,район Крылатское,Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 1133»,4787,"{'global_id': 4478833, 'value': 'Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 1133»'}",5147746381437,71,34,13,2015-2016,4698301,31.10.2016 09:29:34,4787
321,Зеленоградский административный округ,район Крюково,Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 1151»,4786,"{'global_id': 4479177, 'value': 'Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 1151»'}",1027700553143,72,55,20,2015-2016,4698302,31.10.2016 09:36:10,4786
322,Северо-Западный административный округ,район Куркино,Государственное бюджетное общеобразовательное учреждение города Москвы «Школа с углубленным изучением иностранных языков № 1387»,4439,"{'global_id': 4479291, 'value': 'Государственное бюджетное общеобразовательное учреждение города Москвы «Школа с углубленным изучением иностранных языков № 1387»'}",5087746281255,48,35,15,2015-2016,4698303,31.10.2016 09:17:44,4439
323,Северо-Западный административный округ,район Северное Тушино,Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 883»,4451,"{'global_id': 4479316, 'value': 'Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 883»'}",1137746793579,57,39,9,2015-2016,4698304,31.10.2016 09:27:25,4451
324,Северо-Западный административный округ,район Митино,Государственное бюджетное общеобразовательное учреждение города Москвы «Гимназия № 1544»,4093,"{'global_id': 30538844, 'value': 'Государственное бюджетное общеобразовательное учреждение города Москвы «Гимназия № 1544»'}",1037733052807,99,62,27,2015-2016,4698306,31.10.2016 09:28:09,4093
325,Западный административный округ,район Тропарёво-Никулино,Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 1741»,3751,"{'global_id': 4479312, 'value': 'Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 1741»'}",1037700001195,80,46,14,2015-2016,4698308,31.10.2016 09:08:03,3751
326,Западный административный округ,район Фили-Давыдково,Государственное бюджетное общеобразовательное учреждение города Москвы «Школа с углубленным изучением отдельных предметов № 1248»,3757,"{'global_id': 13793743, 'value': 'Государственное бюджетное общеобразовательное учреждение города Москвы «Школа с углубленным изучением отдельных предметов № 1248»'}",1027739860983,79,64,38,2015-2016,4698309,31.10.2016 09:10:00,3757
327,Юго-Восточный административный округ,район Люблино,Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 460 имени дважды Героя Советского Союза А.А. Головачёва»,4099,"{'global_id': 14021041, 'value': 'Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 460 имени дважды Героя Советского Союза А.А. Головачёва»'}",1037700116838,77,64,20,2015-2016,4698310,31.10.2016 09:29:30,4099
328,Восточный административный округ,район Восточный,Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 1021»,4268,{'global_id': 59480430},1037719019062,50,18,3,2015-2016,4698311,31.10.2016 09:38:04,4268
329,Центральный административный округ,Таганский район,Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 498»,5679,"{'global_id': 13793718, 'value': 'Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 498»'}",1027739846177,102,81,34,2015-2016,4698312,31.10.2016 09:38:49,5679
330,Юго-Западный административный округ,район Коньково,Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 17»,5728,"{'global_id': 4479404, 'value': 'Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 17»'}",1037739464234,198,128,59,2015-2016,4698313,31.10.2016 09:10:23,5728
331,Юго-Западный административный округ,район Черёмушки,Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 1948 «Лингвист-М»,5742,{'global_id': 59480675},1137746636455,112,46,23,2015-2016,4698314,31.10.2016 09:29:00,5742
332,Центральный административный округ,район Арбат,Государственное бюджетное общеобразовательное учреждение города Москвы «Школа с углубленным изучением иностранного языка № 1231 имени В.Д. Поленова»,5747,"{'global_id': 13793737, 'value': 'Государственное бюджетное общеобразовательное учреждение города Москвы «Школа с углубленным изучением иностранного языка № 1231 имени В.Д. Поленова»'}",1037739439319,226,125,59,2015-2016,4698315,31.10.2016 09:07:56,5747
333,Северо-Восточный административный округ,район Отрадное,Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 950»,5658,"{'global_id': 4479289, 'value': 'Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 950»'}",5147746169170,93,47,11,2015-2016,4698317,31.10.2016 09:27:42,5658
334,Юго-Восточный административный округ,район Марьино,Государственное бюджетное общеобразовательное учреждение города Москвы «Гимназия № 1562 имени Артема Боровика»,5647,{'global_id': 59480401},1037739084624,89,80,52,2015-2016,4698318,31.10.2016 09:28:25,5647
335,Северо-Западный административный округ,район Хорошёво-Мнёвники,Государственное бюджетное общеобразовательное учреждение города Москвы «Лицей № 138»,5642,"{'global_id': 4478770, 'value': 'Государственное бюджетное общеобразовательное учреждение города Москвы «Лицей № 138»'}",1127746727877,165,63,18,2015-2016,4698319,31.10.2016 09:33:42,5642
336,Восточный административный округ,район Сокольники,Государственное бюджетное общеобразовательное учреждение города Москвы «Гимназия № 1404 «Гамма»,5663,"{'global_id': 30538860, 'value': 'Государственное бюджетное общеобразовательное учреждение города Москвы «Гимназия № 1404 «Гамма»'}",1127746723532,118,39,13,2015-2016,4698320,31.10.2016 09:15:26,5663
337,Западный административный округ,район Фили-Давыдково,Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 2101 «Филёвский образовательный центр»,5666,"{'global_id': 4479128, 'value': 'Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 2101 «Филёвский образовательный центр»'}",5147746277322,104,77,23,2015-2016,4698322,31.10.2016 09:36:15,5666
338,Центральный административный округ,Басманный район,Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 1621 «Школа лидерства Лаудер Эц Хайм»,5781,"{'global_id': 4478867, 'value': 'Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 1621 «Школа лидерства Лаудер Эц Хайм»'}",1147746055159,12,5,3,2015-2016,4698323,31.10.2016 09:29:26,5781
339,Северный административный округ,район Западное Дегунино,Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 2098 «Многопрофильный образовательный центр» имени Героя Советского Союза Л.М. Доватора»,5771,"{'global_id': 13793801, 'value': 'Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 2098 «Многопрофильный образовательный центр» имени Героя Советского Союза Л.М. Доватора»'}",5137746009341,237,93,34,2015-2016,4698324,31.10.2016 09:38:54,5771
340,Северный административный округ,Войковский район,Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 90 «Многопрофильный образовательный комплекс» имени Героя Советского Союза Е.Г. Ларикова»,5775,"{'global_id': 4479217, 'value': 'Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 90 «Многопрофильный образовательный комплекс» имени Героя Советского Союза Е.Г. Ларикова»'}",1027700481160,286,64,24,2015-2016,4698325,31.10.2016 09:33:51,5775
341,Южный административный округ,Донской район,Государственное бюджетное образовательное учреждение среднего профессионального образования города Москвы киноколледж № 40 «Московская международная киношкола»,5752,"{'global_id': 4479062, 'value': 'Государственное бюджетное образовательное учреждение среднего профессионального образования города Москвы киноколледж № 40 «Московская международная киношкола»'}",1037739414129,72,4,1,2015-2016,4698326,31.10.2016 09:28:49,5752
342,Южный административный округ,район Нагатино-Садовники,Государственное бюджетное общеобразовательное учреждение города Москвы «Лицей № 507»,5764,"{'global_id': 4478840, 'value': 'Государственное бюджетное общеобразовательное учреждение города Москвы «Лицей № 507»'}",1127746768820,133,61,31,2015-2016,4698327,31.10.2016 09:27:36,5764
343,Юго-Восточный административный округ,Нижегородский район,Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 439 «Инженерный лицей «Интеллект»,1528,"{'global_id': 4479501, 'value': 'Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 439 «Инженерный лицей «Интеллект»'}",5147746379798,47,14,5,2015-2016,4698329,31.10.2016 09:37:56,1528
344,Западный административный округ,район Тропарёво-Никулино,Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 843»,4372,"{'global_id': 20974858, 'value': 'Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 843»'}",1027739821801,193,72,25,2015-2016,4698330,31.10.2016 09:12:20,4372
345,Северо-Западный административный округ,район Строгино,Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа с углубленным изучением иностранных языков № 1302,4480,"{'global_id': 4479497, 'value': 'Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа с углубленным изучением иностранных языков № 1302'}",1027739292019,85,40,26,2015-2016,4698331,31.10.2016 09:15:01,4480
346,Юго-Восточный административный округ,район Кузьминки,Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 2111 «Новая волна»,4363,"{'global_id': 13793664, 'value': 'Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 2111 «Новая волна»'}",5147746142891,94,15,3,2015-2016,4698333,31.10.2016 09:39:02,4363
347,Восточный административный округ,район Гольяново,Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 319»,4201,"{'global_id': 4478790, 'value': 'Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 319»'}",1027739581154,160,44,13,2015-2016,4698336,31.10.2016 09:22:39,4201
348,Юго-Западный административный округ,Обручевский район,Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 1100»,4140,"{'global_id': 20974883, 'value': 'Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 1100»'}",1127746630967,56,40,25,2015-2016,4698337,31.10.2016 09:15:31,4140
349,Южный административный округ,Донской район,Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 630 «Лингвистический центр»,4130,"{'global_id': 13793726, 'value': 'Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 630 «Лингвистический центр»'}",1027700398560,212,57,17,2015-2016,4698338,31.10.2016 09:39:32,4130
350,Южный административный округ,район Братеево,Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 867»,4133,{'global_id': 59480442},1027739395991,79,59,16,2015-2016,4698339,31.10.2016 09:30:55,4133
351,Северный административный округ,район Беговой,Государственное бюджетное общеобразовательное учреждение города Москвы «Гимназия № 1570»,4221,"{'global_id': 30538851, 'value': 'Государственное бюджетное общеобразовательное учреждение города Москвы «Гимназия № 1570»'}",1037700131061,80,32,12,2015-2016,4698340,31.10.2016 09:22:28,4221
352,Юго-Восточный административный округ,район Марьино,Государственное бюджетное общеобразовательное учреждение города Москвы «Гимназия № 491 «Марьино»,4507,"{'global_id': 20974885, 'value': 'Государственное бюджетное общеобразовательное учреждение города Москвы «Гимназия № 491 «Марьино»'}",1137746762724,145,44,12,2015-2016,4698341,31.10.2016 09:37:55,4507
353,Западный административный округ,район Раменки,Государственное бюджетное общеобразовательное учреждение города Москвы «Шуваловская гимназия № 1448»,4509,"{'global_id': 13793754, 'value': 'Государственное бюджетное общеобразовательное учреждение города Москвы «Шуваловская гимназия № 1448»'}",1057747815927,123,49,30,2015-2016,4698342,31.10.2016 09:12:28,4509
354,Центральный административный округ,Таганский район,Государственное бюджетное общеобразовательное учреждение города Москвы «Лицей № 1581»,4218,{'global_id': 62782462},1027700367199,138,131,72,2015-2016,4698343,31.10.2016 09:17:55,4218
355,Восточный административный округ,район Вешняки,Государственное бюджетное общеобразовательное учреждение города Москвы средняя общеобразовательная школа № 892,4211,"{'global_id': 4479336, 'value': 'Государственное бюджетное общеобразовательное учреждение города Москвы средняя общеобразовательная школа № 892'}",1147746863659,53,19,2,2015-2016,4698344,31.10.2016 09:37:24,4211
356,Западный административный округ,Можайский район,Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 587»,1536,{'global_id': 59480633},1037739246775,25,16,3,2015-2016,4698345,31.10.2016 09:31:18,1536
357,Северо-Восточный административный округ,район Марфино,Государственное бюджетное общеобразовательное учреждение города Москвы «Кадетская школа-интернат № 6 «Московский Георгиевский кадетский корпус»,908,{'global_id': 62782461},1027739600239,67,28,3,2015-2016,4698346,31.10.2016 09:12:27,908
358,Юго-Восточный административный округ,район Кузьминки,Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 641 имени Сергея Есенина»,945,"{'global_id': 13793709, 'value': 'Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 641 имени Сергея Есенина»'}",1037739443642,147,102,50,2015-2016,4698348,31.10.2016 09:30:53,945
359,Северный административный округ,район Ховрино,Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 1474»,1047,"{'global_id': 4478862, 'value': 'Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 1474»'}",1027700460260,259,143,61,2015-2016,4698349,31.10.2016 09:38:16,1047
360,Северо-Западный административный округ,район Митино,Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 1747»,1547,"{'global_id': 4479081, 'value': 'Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 1747»'}",1127746676155,180,66,27,2015-2016,4698350,31.10.2016 09:18:10,1547
361,Центральный административный округ,район Хамовники,Государственное бюджетное профессиональное образовательное учреждение города Москвы «Образовательный комплекс дизайна и технологий»,6061,"{'global_id': 4479186, 'value': 'Государственное бюджетное профессиональное образовательное учреждение города Москвы «Образовательный комплекс дизайна и технологий»'}",1057719020644,44,17,3,2015-2016,4698351,31.10.2016 09:20:46,6061
362,Северный административный округ,Бескудниковский район,Государственное бюджетное общеобразовательное учреждение города Москвы «Гимназия № 1592»,5998,"{'global_id': 4478875, 'value': 'Государственное бюджетное общеобразовательное учреждение города Москвы «Гимназия № 1592»'}",5147746346996,70,47,17,2015-2016,4698352,31.10.2016 09:24:31,5998
363,Северо-Восточный административный округ,район Северное Медведково,Государственное бюджетное профессиональное образовательное учреждение города Москвы «Первый Московский Образовательный Комплекс»,5996,"{'global_id': 4478646, 'value': 'Государственное бюджетное профессиональное образовательное учреждение города Москвы «Первый Московский Образовательный Комплекс»'}",1057716005380,227,69,14,2015-2016,4698353,31.10.2016 09:33:45,5996
364,Северо-Восточный административный округ,Алексеевский район,Государственное бюджетное общеобразовательное учреждение города Москвы «Гимназия № 1539»,5951,"{'global_id': 13793763, 'value': 'Государственное бюджетное общеобразовательное учреждение города Москвы «Гимназия № 1539»'}",1027739445645,205,84,39,2015-2016,4698354,31.10.2016 09:20:17,5951
365,Южный административный округ,Даниловский район,Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 547»,5954,"{'global_id': 4479138, 'value': 'Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 547»'}",1027739366291,68,28,6,2015-2016,4698355,31.10.2016 09:37:23,5954
366,Северный административный округ,Войковский район,Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 717»,5930,"{'global_id': 4478918, 'value': 'Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 717»'}",1027700404764,60,35,14,2015-2016,4698357,31.10.2016 09:32:24,5930
367,Западный административный округ,район Тропарёво-Никулино,Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 1329»,5794,"{'global_id': 4478872, 'value': 'Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 1329»'}",1147746745596,201,129,85,2015-2016,4698361,31.10.2016 09:34:57,5794
368,Юго-Восточный административный округ,Рязанский район,Государственное бюджетное общеобразовательное учреждение города Москвы «Школа с углубленным изучением отдельных предметов № 1421»,5916,{'global_id': 62782456},1137746962825,43,29,11,2015-2016,4698362,31.10.2016 09:28:32,5916
369,Юго-Западный административный округ,район Северное Бутово,Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 2006»,5804,"{'global_id': 30538821, 'value': 'Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 2006»'}",1147746037053,87,72,51,2015-2016,4698364,31.10.2016 09:37:57,5804
370,Центральный административный округ,Тверской район,Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 91»,5801,{'global_id': 62782413},1037739033969,53,26,9,2015-2016,4698365,31.10.2016 09:25:52,5801
371,Юго-Западный административный округ,район Черёмушки,Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 19»,5798,"{'global_id': 13793678, 'value': 'Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 19»'}",1027739802200,29,21,8,2015-2016,4698366,31.10.2016 09:26:48,5798
372,Западный административный округ,район Раменки,Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 1498 «Московская Международная Школа»,5837,"{'global_id': 4478993, 'value': 'Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 1498 «Московская Международная Школа»'}",5147746363750,113,64,39,2015-2016,4698368,31.10.2016 09:36:12,5837
373,Восточный административный округ,район Перово,Государственное бюджетное общеобразовательное учреждение города Москвы «Гимназия № 1637»,5830,"{'global_id': 4478934, 'value': 'Государственное бюджетное общеобразовательное учреждение города Москвы «Гимназия № 1637»'}",5147746026280,131,34,14,2015-2016,4698369,31.10.2016 09:27:51,5830
374,Северный административный округ,район Западное Дегунино,Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 1125 имени Я.Н. Федоренко»,1092,"{'global_id': 30538857, 'value': 'Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 1125 имени Я.Н. Федоренко»'}",1027700496823,58,8,3,2015-2016,4698370,31.10.2016 09:27:39,1092
375,Южный административный округ,район Бирюлёво Восточное,Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 508»,1206,"{'global_id': 13793751, 'value': 'Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 508»'}",1027739563939,56,39,16,2015-2016,4698371,31.10.2016 09:24:33,1206
376,Южный административный округ,район Чертаново Южное,Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 924»,1207,"{'global_id': 30538826, 'value': 'Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 924»'}",1037739634657,104,35,9,2015-2016,4698372,31.10.2016 09:08:36,1207
377,Северный административный округ,Дмитровский район,Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 1631»,1208,{'global_id': 62782391},5137746206692,66,48,12,2015-2016,4698373,31.10.2016 09:10:25,1208
378,Западный административный округ,район Солнцево,Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 1002»,1264,"{'global_id': 4479469, 'value': 'Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 1002»'}",1027700415027,98,53,16,2015-2016,4698375,31.10.2016 09:18:00,1264
379,Юго-Западный административный округ,район Черёмушки,Государственное бюджетное общеобразовательное учреждение города Москвы «Школа с углубленным изучением иностранных языков № 1205»,1089,"{'global_id': 13793704, 'value': 'Государственное бюджетное общеобразовательное учреждение города Москвы «Школа с углубленным изучением иностранных языков № 1205»'}",1027700490333,102,59,31,2015-2016,4698376,31.10.2016 09:25:33,1089
