,AdmArea,District,EDU_NAME,ID,LINK,OGRN,PASSED_NUMBER_FULL,PASSER_UNDER_160,PASSES_OVER_220,YEAR,global_id,signature_date,system_object_id
48,Центральный административный округ,район Замоскворечье,Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 627 имени генерала Д.Д. Лелюшенко»,3368,{'global_id': 59480353},1127747118003,171,124,74,2015-2016,4697970,31.10.2016 09:22:41,3368
49,Восточный административный округ,район Новогиреево,Государственное бюджетное образовательное учреждение города Москвы «Гимназия № 2072»,3363,"{'global_id': 4478932, 'value': 'Государственное бюджетное образовательное учреждение города Москвы гимназия № 2072'}",1137746883097,74,47,23,2015-2016,4697971,31.10.2016 09:17:44,3363
50,Южный административный округ,район Бирюлёво Западное,Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 667,3812,"{'global_id': 4479297, 'value': 'Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 667'}",1137746730285,101,34,8,2015-2016,4697972,31.10.2016 09:33:53,3812
51,Юго-Западный административный округ,Обручевский район,Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 1995»,5469,"{'global_id': 4479248, 'value': 'Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 1995»'}",1037728026269,130,51,18,2015-2016,4697974,31.10.2016 09:20:53,5469
52,Юго-Восточный административный округ,район Марьино,Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 2110 «Многопрофильный образовательный комплекс «Марьино»,5479,"{'global_id': 4479463, 'value': 'Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 2110 «Многопрофильный образовательный комплекс «Марьино»'}",1147746962285,151,39,8,2015-2016,4697975,31.10.2016 09:22:26,5479
53,Западный административный округ,район Проспект Вернадского,Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 324 «Жар-птица»,5433,"{'global_id': 13793674, 'value': 'Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 324 «Жар-птица»'}",5147746212500,79,35,16,2015-2016,4697977,31.10.2016 09:25:21,5433
54,Северный административный округ,Тимирязевский район,Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 1454 «Центр образования Тимирязевский»,5415,"{'global_id': 4478705, 'value': 'Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 1454 «Центр образования Тимирязевский»'}",1147746016230,152,83,37,2015-2016,4697978,31.10.2016 09:20:32,5415
55,Юго-Западный административный округ,район Зюзино,Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 538 имени С.В. Гришина»,5547,"{'global_id': 4478775, 'value': 'Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 538 имени С.В. Гришина»'}",1157746021927,35,25,3,2015-2016,4697979,31.10.2016 09:34:58,5547
56,Северо-Западный административный округ,район Покровское-Стрешнево,Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 830»,5418,"{'global_id': 4479296, 'value': 'Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 830»'}",1127747247100,45,26,5,2015-2016,4697980,31.10.2016 09:15:23,5418
57,Северо-Восточный административный округ,район Лианозово,Государственное бюджетное общеобразовательное учреждение города Москвы «Гимназия № 1573»,5403,"{'global_id': 13793702, 'value': 'Государственное бюджетное общеобразовательное учреждение города Москвы «Гимназия № 1573»'}",5067746662968,162,66,39,2015-2016,4697981,31.10.2016 09:27:20,5403
