,EDU_NAME,PASSED_NUMBER_FULL,PASSER_UNDER_160,PASSES_OVER_220,lat,lon
100,Государственное бюджетное общеобразовательное учреждение города Москвы «Школа «Спектр»,75,37,12,55.677488,37.720156
101,Государственное бюджетное образовательное учреждение города Москвы лицей № 1568 имени Пабло Неруды,176,121,89,55.874276,37.64166
102,Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 2045»,101,69,20,55.7348645,37.5928418
103,Государственное бюджетное образовательное учреждение города Москвы гимназия № 1476,61,35,12,55.776985,37.831177
104,Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 1078»,63,35,3,55.81915,37.8226211
105,Государственное бюджетное общеобразовательное учреждение города Москвы средняя общеобразовательная школа № 556,46,38,17,55.616776,37.585297
106,Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 283»,213,85,31,55.88919,37.670935
107,Государственное бюджетное общеобразовательное учреждение города Москвы «Лицей № 1553 имени В.И. Вернадского»,156,73,47,55.7211039,37.6490867
108,Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 2126 «Перово»,53,41,15,55.7429472,37.7591779
109,Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 1460»,58,29,15,55.691596,37.851279
110,Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 590»,64,17,9,55.740098,37.495536
112,Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 1173»,129,62,25,55.616643,37.594635
113,Государственное автономное общеобразовательное учреждение города Москвы «Гимназия № 1306»,22,16,9,55.698474,37.508885
114,Государственное бюджетное общеобразовательное учреждение города Москвы «Школа с углубленным изучением английского языка № 1374»,100,43,9,55.866378,37.698386
115,Государственное бюджетное общеобразовательное учреждение города Москвы «Лицей № 86 имени М.Е. Катукова»,82,22,4,55.80734,37.402734
116,Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 37»,38,24,11,55.7032247,37.5038665
117,Государственное бюджетное общеобразовательное учреждение города Москвы «Гимназия № 1583 имени К. А. Керимова»,157,63,31,55.8536443,37.5073033
118,Государственное бюджетное образовательное учреждение города Москвы гимназия № 1529 имени А.С.Грибоедова,221,123,88,55.7451596,37.5925622
119,Государственное бюджетное общеобразовательное учреждение города Москвы «Лицей «Вторая школа»,98,90,83,55.6979916,37.5563181
120,Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 868»,42,21,5,55.621167,37.653215
121,Государственное бюджетное общеобразовательное учреждение города Москвы «Школа с углубленным изучением английского языка № 1256 имени Героя Советского Союза И.С. Полбина»,123,55,29,55.681874,37.727836
122,Государственное бюджетное общеобразовательное учреждение города Москвы «Школа-интернат «Интеллектуал»,84,56,48,55.718031,37.464613
123,Государственное бюджетное общеобразовательное учреждение города Москвы «Школа с углубленным изучением естественных наук № 1376»,48,42,21,55.648685,37.341184
124,Государственное бюджетное общеобразовательное учреждение города Москвы «Школа с углубленным изучением экологии № 390 имени генерала П.И. Батова»,59,22,5,55.818741,37.717077
125,Государственное бюджетное общеобразовательное учреждение города Москвы «Школа с углубленным изучением английского языка № 1324»,137,70,26,55.755203,37.820525
126,Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 1400»,261,69,31,55.720874,37.4111
127,Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 218»,62,56,49,55.8120308,37.5754087
128,Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 947»,118,76,25,55.5844211,37.6734227
129,Государственное бюджетное общеобразовательное учреждение города Москвы «Гимназия № 1358»,202,120,53,55.8554937,37.3457109
130,Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 1980»,202,82,34,55.855061,37.413361
131,Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 72»,74,55,18,55.7475961,37.4983998
132,Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 183»,105,50,18,55.8737218,37.5560331
133,Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 2116 «Зябликово»,168,68,20,55.6206246,37.7545745
134,Государственное бюджетное профессиональное образовательное учреждение города Москвы «Колледж малого бизнеса № 4»,70,0,0,55.7264863,37.6378323
135,Государственное бюджетное общеобразовательное учреждение города Москвы «Школа с углубленным изучением отдельных предметов № 879»,34,23,7,55.609832,37.596122
136,Государственное бюджетное общеобразовательное учреждение города Москвы «Курчатовская школа»,206,152,87,55.7971365,37.4882785
137,Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 1130»,112,61,26,55.760112,37.403577
138,Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 933»,23,15,3,55.5819908,37.6514579
139,Государственное бюджетное общеобразовательное учреждение города Москвы «Лицей № 1580 при МГТУ имени Н.Э.Баумана»,419,400,305,55.6428836,37.6142243
140,Государственное бюджетное общеобразовательное учреждение города Москвы «Школа с углубленным изучением английского языка № 1359 имени авиаконструктора М.Л.Миля»,335,112,52,55.701701,37.844659
141,Государственное бюджетное общеобразовательное учреждение города Москвы «Школа с углубленным изучением математики № 1360»,192,65,22,55.812841,37.701953
142,Государственное бюджетное общеобразовательное учреждение города Москвы «Лицей № 1525 «Красносельский»,113,97,55,55.784343,37.669633
143,Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 38»,81,33,9,55.6967454,37.490041
144,"Государственное бюджетное общеобразовательное учреждение города Москвы «Школа с углубленным изучением математики, информатики, физики № 444»",100,65,42,55.790595,37.796454
145,Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 74,19,3,2,55.7277672,37.5232995
146,Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 46»,68,32,15,55.657316,37.512335
147,Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 2005»,117,85,46,55.895626,37.398672
148,Государственное бюджетное образовательное учреждение среднего профессионального образования города Москвы «Колледж градостроительства и сервиса № 38»,24,4,1,55.575709,37.574227
149,Государственное бюджетное общеобразовательное учреждение города Москвы «Школа с этнокультурным татарским компонентом образования № 1186 имени Мусы Джалиля»,31,8,1,55.672012,37.767584
150,Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 152»,230,114,55,55.8092162,37.5233104
151,Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 998»,58,9,1,55.639556,37.763487
152,Государственное бюджетное общеобразовательное учреждение города Москвы «Лицей № 1598»,144,85,24,55.824591,37.829611
